"target_kind","issue","source","line","target","resolved_target","syntax","link_text_or_alt","mapped_from","candidates"
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-ai-search.md","20","../image/account-lifecycle-rec-action-search.png","markdown/image/account-lifecycle-rec-action-search.png","markdown-image","Recommended actions with AI search","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-config-zoom-sum.md","38","../image/account-lifecycle-zoom-endpoint.jpg","markdown/image/account-lifecycle-zoom-endpoint.jpg","markdown-image","Event notification endpoint URL","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-config-zoom-sum.md","111","../image/account-lifecycle-zoom-webhook.jpg","markdown/image/account-lifecycle-zoom-webhook.jpg","markdown-image","Zoom webhook registry","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-applicable-outcome.md","28","../image/customer-success-related-items-success-outcome.png","markdown/image/customer-success-related-items-success-outcome.png","markdown-image","Related items.","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-applicable-outcome.md","38","../image/customer-success-application-success-outcome.png","markdown/image/customer-success-application-success-outcome.png","markdown-image","applicable success outcomes.","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-blueprint-template.md","34","../../../common/image/icon-lock.png","../common/image/icon-lock.png","markdown-image","","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-blueprint-template.md","60","../image/account-lifecycle-success-obj-temp.png","markdown/image/account-lifecycle-success-obj-temp.png","markdown-image","Success Objective Template","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-blueprint-template.md","80","../image/account-lifecycle-success-obj-temp-appr.png","markdown/image/account-lifecycle-success-obj-temp-appr.png","markdown-image","Success Objective Template - Approve","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-blueprint-template.md","103","../image/ale-success-initiative-blueprints.png","markdown/image/ale-success-initiative-blueprints.png","markdown-image","Success Initiative Blueprints.","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-blueprint.md","76","../../../common/image/icon-menu-square.png","../common/image/icon-menu-square.png","markdown-image","","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-blueprint.md","80","../../../reuse/icons/product-icons/open-link-right-outline-24.svg","../reuse/icons/product-icons/open-link-right-outline-24.svg","markdown-image","","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-crm-opportunity.md","40","../image/account-lifecycle-crm-create-opp-1.png","markdown/image/account-lifecycle-crm-create-opp-1.png","markdown-image","Renewal playbook: core information","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-crm-opportunity.md","56","../image/account-lifecycle-crm-create-opp-2.png","markdown/image/account-lifecycle-crm-create-opp-2.png","markdown-image","MS Dynamics CRM recommended action","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-crm-task.md","42","../image/account-lifecycle-crm-create-task-2.png","markdown/image/account-lifecycle-crm-create-task-2.png","markdown-image","CRM Task worknotes","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-imp-record.md","268","../image/related-items-imp-rec.jpg","markdown/image/related-items-imp-rec.jpg","markdown-image","Related Items: Implementation Record","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-imp-record.md","274","../../../reuse/icons/product-icons/open-link-right-outline-24.svg","../reuse/icons/product-icons/open-link-right-outline-24.svg","markdown-image","","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-outcome.md","193","../image/account-lifecycle-success-obj-mapping.png","markdown/image/account-lifecycle-success-obj-mapping.png","markdown-image","Context engine mapping","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-create-par-roadmap-temp.md","97","../image/product-adopt-road-temp.jpg","markdown/image/product-adopt-road-temp.jpg","markdown-image","Product adoption roadmap template","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-crm-integration.md","35","../image/account-lifecycle-crm-integ-play-task-assn.png","markdown/image/account-lifecycle-crm-integ-play-task-assn.png","markdown-image","Internal play task - account","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-crm-integration.md","39","../image/account-lifecycle-crm-integ-risk-sign-assn.png","markdown/image/account-lifecycle-crm-integ-risk-sign-assn.png","markdown-image","Risk and Issue - account","",""
"image","missing target file","markdown/acct-lifecycle-events/account-lifecycle-crm-integration.md","59","../image/account-lifecycle-crm-script-include.png","markdown/image/account-lifecycle-crm-script-include.png","markdown-image","Dynamics CRM script include","",""
