"file","h1","h1_count","heading_count","line_count","word_count","link_count","image_count","code_fence_count","missing_language_fence_count","table_count","html_table_count","issue_count"
"legal/README.md","Legal Information","1","1","7","17","0","0","0","0","0","0","0"
"markdown/acct-lifecycle-events/account-lifecycle-activate.md","Activate Customer Success Management","1","3","182","559","0","0","1","1","0","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-add-data-import.md","Add the data import task","1","1","50","521","3","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-ai-search.md","AI search with Recommended Actions","1","1","39","258","3","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-ale-choice.md","Create a customer success choice record","1","3","39","161","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-backup.md","Run scheduled job to back up staging table","1","5","48","243","1","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-basic-config.md","Basic customer success setup","1","1","37","260","10","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-cancel-case.md","Close or cancel an account onboarding case","1","3","47","303","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-cancel-internal-play.md","Close or cancel an internal play","1","3","45","276","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-cancel-success-case.md","Close or cancel a customer play","1","3","43","240","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-cancel-success-initiative.md","Close or cancel a success initiative","1","3","43","236","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-case-case-tasks.md","Onboarding case and case tasks","1","1","28","215","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-config-cust-success.md","Customer success","1","1","37","295","10","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-config-subflow.md","Define subflows for success plays","1","1","79","207","2","0","0","0","0","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-config-zoom-sum.md","Configure Zoom to create a touchpoint meeting summary","1","4","125","444","4","2","0","0","0","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-configure-dce-visual.md","Configure DCE Visualizations","1","3","112","383","2","0","0","0","0","1","2"
