"confidence","candidate_score","issue","source","source_line","original_target","suggested_target","resolved_target","requested_anchor","target_file","link_text","candidate_anchor","candidate_label","candidate_type","candidate_line","anchor_count","reasons","second_candidate","second_score"
"low","65","missing same-page anchor","markdown/application-portfolio-management/application-portfolio-management-landing-page.md","35","#section_rts_qj4_dwb","#enterprise-architecture","markdown/application-portfolio-management/application-portfolio-management-landing-page.md#section_rts_qj4_dwb","section_rts_qj4_dwb","markdown/application-portfolio-management/application-portfolio-management-landing-page.md","Enterprise Modeling and Visualization","enterprise-architecture","Enterprise Architecture","h1","11","7","link/candidate token overlap 0.50","table_uw5_lxw_sjb","0"
"low","69","missing same-page anchor","markdown/servicenow-platform/servicenow-platform/Chunk770148849.md","29","#api-insights-sch-job-tag-reln","#scheduling-the-tag-based-mapping-rules","markdown/servicenow-platform/servicenow-platform/Chunk770148849.md#api-insights-sch-job-tag-reln","api-insights-sch-job-tag-reln","markdown/servicenow-platform/servicenow-platform/Chunk770148849.md","Schedule the tag-based mapping rule","scheduling-the-tag-based-mapping-rules","Scheduling the tag-based mapping rules","h2","65","6","link/candidate token overlap 0.67; link/candidate text similarity 0.89","define-tag-based-mapping-rules","66"
"low","65","missing target anchor","markdown/api-reference/rest-apis/bot-api.md","65","bot-api.md#vabot-ex-createconvo","bot-api.md#create-a-chat-interaction","markdown/api-reference/rest-apis/bot-api.md#vabot-ex-createconvo","vabot-ex-createconvo","markdown/api-reference/rest-apis/bot-api.md","CREATE_CONVERSATION","create-a-chat-interaction","Create a chat interaction","h3","1529","30","link/candidate token overlap 0.50","start-a-conversation-initiated-using-the-start-created-conversation-action","65"
"low","65","missing target anchor","markdown/api-reference/rest-apis/bot-api.md","68","bot-api.md#vabot-ex-sendhist","bot-api.md#update-only-chat-history","markdown/api-reference/rest-apis/bot-api.md#vabot-ex-sendhist","vabot-ex-sendhist","markdown/api-reference/rest-apis/bot-api.md","SEND_HISTORY","update-only-chat-history","Update only chat history","h3","1740","30","link/candidate token overlap 0.50","virtual-agent-bot-integration-api","0"
"low","65","missing target anchor","markdown/api-reference/rest-apis/bot-api.md","77","bot-api.md#vabot-ex-updatemsg","bot-api.md#update-the-message-on-the-agent-chat-panel","markdown/api-reference/rest-apis/bot-api.md#vabot-ex-updatemsg","vabot-ex-updatemsg","markdown/api-reference/rest-apis/bot-api.md","UPDATE_MESSAGES","update-the-message-on-the-agent-chat-panel","Update the message on the agent chat panel","h3","1709","30","link/candidate token overlap 0.50","update-only-chat-history","65"
"low","65","missing target anchor","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","1032","Clotho-Time-Series-API.md#Supported_transforms","Clotho-Time-Series-API.md#supported-request-parameters","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md#Supported_transforms","Supported_transforms","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","Supported Transforms","supported-request-parameters","Supported request parameters","h3","34","74","link/candidate token overlap 0.50","supported-request-parameters-1","65"
"low","65","missing target anchor","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","1055","Clotho-Time-Series-API.md#Supported_transforms","Clotho-Time-Series-API.md#supported-request-parameters","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md#Supported_transforms","Supported_transforms","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","Supported transforms","supported-request-parameters","Supported request parameters","h3","34","74","link/candidate token overlap 0.50","supported-request-parameters-1","65"
"low","65","missing target anchor","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","1063","Clotho-Time-Series-API.md#Supported_transforms","Clotho-Time-Series-API.md#supported-request-parameters","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md#Supported_transforms","Supported_transforms","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","Supported transforms","supported-request-parameters","Supported request parameters","h3","34","74","link/candidate token overlap 0.50","supported-request-parameters-1","65"
"low","65","missing target anchor","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","2330","Clotho-Time-Series-API.md#Supported_transforms","Clotho-Time-Series-API.md#supported-request-parameters","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md#Supported_transforms","Supported_transforms","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","Supported Transforms","supported-request-parameters","Supported request parameters","h3","34","74","link/candidate token overlap 0.50","supported-request-parameters-1","65"
"low","65","missing target anchor","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","2353","Clotho-Time-Series-API.md#Supported_transforms","Clotho-Time-Series-API.md#supported-request-parameters","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md#Supported_transforms","Supported_transforms","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","Supported transforms","supported-request-parameters","Supported request parameters","h3","34","74","link/candidate token overlap 0.50","supported-request-parameters-1","65"
"low","65","missing target anchor","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","2361","Clotho-Time-Series-API.md#Supported_transforms","Clotho-Time-Series-API.md#supported-request-parameters","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md#Supported_transforms","Supported_transforms","markdown/api-reference/rest-apis/Clotho-Time-Series-API.md","Supported transforms","supported-request-parameters","Supported request parameters","h3","34","74","link/candidate token overlap 0.50","supported-request-parameters-1","65"
"none","0","missing target anchor","markdown/application-development/automated-test-framework-atf/atf-create-custom-step.md","64","atf-step-config-xmpls.md#qtf_33v_xw","","markdown/application-development/automated-test-framework-atf/atf-step-config-xmpls.md#qtf_33v_xw","qtf_33v_xw","markdown/application-development/automated-test-framework-atf/atf-step-config-xmpls.md",".","","","","","6","","order-field-example","0"
"none","0","missing target anchor","markdown/application-development/automated-test-framework-atf/atf-step-categories.md","22","atf-create-custom-category.md#qlp_fw2_zw","","markdown/application-development/automated-test-framework-atf/atf-create-custom-category.md#qlp_fw2_zw","qlp_fw2_zw","markdown/application-development/automated-test-framework-atf/atf-create-custom-category.md","Step Config Category Display name.","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/now-assist-for-creator/generate-playbook-recommendations.md","43","generate-a-playbook-outline.md#configure-activity-inputs","","markdown/application-development/now-assist-for-creator/generate-a-playbook-outline.md#configure-activity-inputs","configure-activity-inputs","markdown/application-development/now-assist-for-creator/generate-a-playbook-outline.md","11.e","","","","","6","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/servicenow-ide-family-release/convert-application-servicenow-ide.md","46","../building-applications-source-code.md#application-structure","","markdown/application-development/building-applications-source-code.md#application-structure","application-structure","markdown/application-development/building-applications-source-code.md","Application structure","","","","","5","","overview-of-development-in-source-code","0"
"none","0","missing target anchor","markdown/application-development/servicenow-ide-family-release/create-application-servicenow-ide.md","61","../building-applications-source-code.md#application-structure","","markdown/application-development/building-applications-source-code.md#application-structure","application-structure","markdown/application-development/building-applications-source-code.md","Application structure","","","","","5","","overview-of-development-in-source-code","0"
"none","0","missing target anchor","markdown/application-development/servicenow-ide-family-release/servicenow-ide-user-interface.md","72","../building-applications-source-code.md#application-structure","","markdown/application-development/building-applications-source-code.md#application-structure","application-structure","markdown/application-development/building-applications-source-code.md","Application structure","","","","","5","","overview-of-development-in-source-code","0"
"none","0","missing target anchor","markdown/application-development/servicenow-ide-family-release/tutorial-create-application-ide.md","90","../building-applications-source-code.md#application-structure","","markdown/application-development/building-applications-source-code.md#application-structure","application-structure","markdown/application-development/building-applications-source-code.md","Application structure","","","","","5","","overview-of-development-in-source-code","0"
"none","0","missing target anchor","markdown/application-development/servicenow-sdk/convert-application-now-sdk.md","85","../building-applications-source-code.md#application-structure","","markdown/application-development/building-applications-source-code.md#application-structure","application-structure","markdown/application-development/building-applications-source-code.md","Application structure","","","","","5","","overview-of-development-in-source-code","0"
"none","0","missing target anchor","markdown/application-development/servicenow-sdk/create-application-now-sdk.md","130","../building-applications-source-code.md#application-structure","","markdown/application-development/building-applications-source-code.md#application-structure","application-structure","markdown/application-development/building-applications-source-code.md","Application structure","","","","","5","","overview-of-development-in-source-code","0"
"none","0","missing target anchor","markdown/application-development/servicenow-studio-classic/t_ResolveConflicts.md","46","t_ResolveConflicts.md#SelectAction","","markdown/application-development/servicenow-studio-classic/t_ResolveConflicts.md#SelectAction","SelectAction","markdown/application-development/servicenow-studio-classic/t_ResolveConflicts.md","Step 3","","","","","10","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/servicenow-studio-classic/t_ResolveConflicts.md","54","t_ResolveConflicts.md#Merge","","markdown/application-development/servicenow-studio-classic/t_ResolveConflicts.md#Merge","Merge","markdown/application-development/servicenow-studio-classic/t_ResolveConflicts.md","Step 6","","","","","10","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/team-development/t_DefineARemoteInstance.md","40","t_DefineARemoteInstance.md#step-1-add-exception","","markdown/application-development/team-development/t_DefineARemoteInstance.md#step-1-add-exception","step-1-add-exception","markdown/application-development/team-development/t_DefineARemoteInstance.md","step 1","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/team-development/t_DefineARemoteInstance.md","40","t_DefineARemoteInstance.md#step-5-submit","","markdown/application-development/team-development/t_DefineARemoteInstance.md#step-5-submit","step-5-submit","markdown/application-development/team-development/t_DefineARemoteInstance.md","step 5","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/team-development/t_PushAVersion.md","62","t_PushAVersion.md#step-2-queue-local-changes","","markdown/application-development/team-development/t_PushAVersion.md#step-2-queue-local-changes","step-2-queue-local-changes","markdown/application-development/team-development/t_PushAVersion.md","step 2","","","","","7","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/team-development/t_PushAVersion.md","79","t_PushAVersion.md#step-3-pull-versions","","markdown/application-development/team-development/t_PushAVersion.md#step-3-pull-versions","step-3-pull-versions","markdown/application-development/team-development/t_PushAVersion.md","step 3","","","","","7","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/team-development/t_SelectTheParentInstance.md","50","t_SelectTheParentInstance.md#step-1-navigate-team-dashboard","","markdown/application-development/team-development/t_SelectTheParentInstance.md#step-1-navigate-team-dashboard","step-1-navigate-team-dashboard","markdown/application-development/team-development/t_SelectTheParentInstance.md","step 1","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/team-development/t_SelectTheParentInstance.md","50","t_SelectTheParentInstance.md#step-2-click-link","","markdown/application-development/team-development/t_SelectTheParentInstance.md#step-2-click-link","step-2-click-link","markdown/application-development/team-development/t_SelectTheParentInstance.md","step 2","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/ui-builder/bind-event-declarative-action.md","58","bind-event-declarative-action.md#step","","markdown/application-development/ui-builder/bind-event-declarative-action.md#step","step","markdown/application-development/ui-builder/bind-event-declarative-action.md","5","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/ui-builder/workspace-side-navigation-settings.md","102","workspace-side-navigation-settings.md#step_edit-exp-settings","","markdown/application-development/ui-builder/workspace-side-navigation-settings.md#step_edit-exp-settings","step_edit-exp-settings","markdown/application-development/ui-builder/workspace-side-navigation-settings.md","3","","","","","5","","before-you-begin","0"
"none","0","missing target anchor","markdown/application-development/ui-builder/workspace-side-navigation-settings.md","102","workspace-side-navigation-settings.md#step_side-nav","","markdown/application-development/ui-builder/workspace-side-navigation-settings.md#step_side-nav","step_side-nav","markdown/application-development/ui-builder/workspace-side-navigation-settings.md","4","","","","","5","","before-you-begin","0"
"none","0","missing target anchor","markdown/build-workflows/workflow-studio/flow-triggers.md","422","flow-triggers.md#subflows-design-considerations","","markdown/build-workflows/workflow-studio/flow-triggers.md#subflows-design-considerations","subflows-design-considerations","markdown/build-workflows/workflow-studio/flow-triggers.md","subflow","","","","","12","","record-triggers","0"
"none","0","missing target anchor","markdown/build-workflows/workflow-studio/flows.md","154","flows.md#subflows-design-considerations","","markdown/build-workflows/workflow-studio/flows.md#subflows-design-considerations","subflows-design-considerations","markdown/build-workflows/workflow-studio/flows.md","subflows","","","","","10","","action-limit","0"
"none","0","missing target anchor","markdown/build-workflows/workflow-studio/flows.md","164","flows.md#subflows-design-considerations","","markdown/build-workflows/workflow-studio/flows.md#subflows-design-considerations","subflows-design-considerations","markdown/build-workflows/workflow-studio/flows.md","subflow","","","","","10","","action-limit","0"
"none","0","missing target anchor","markdown/build-workflows/workflow-studio/process-automation-designer-roles.md","137","content-filtering-playbooks.md#activity_def_req_roles","","markdown/build-workflows/workflow-studio/content-filtering-playbooks.md#activity_def_req_roles","activity_def_req_roles","markdown/build-workflows/workflow-studio/content-filtering-playbooks.md","Required Roles","","","","","5","","content-definitions","0"
