"target_kind","issue","source","line","target","resolved_target","syntax","link_text_or_alt","mapped_from","candidates"
"markdown","missing same-page anchor","markdown/acct-lifecycle-events/account-lifecycle-success-report.md","35","#section_iz5_3nl_kfc","markdown/acct-lifecycle-events/account-lifecycle-success-report.md#section_iz5_3nl_kfc","markdown-link","Overview","",""
"markdown","missing same-page anchor","markdown/acct-lifecycle-events/account-lifecycle-success-report.md","36","#section_wcb_g4l_kfc","markdown/acct-lifecycle-events/account-lifecycle-success-report.md#section_wcb_g4l_kfc","markdown-link","Risk","",""
"markdown","missing same-page anchor","markdown/acct-lifecycle-events/account-lifecycle-success-report.md","37","#section_ds3_bcy_lfc","markdown/acct-lifecycle-events/account-lifecycle-success-report.md#section_ds3_bcy_lfc","markdown-link","Adoption","",""
"markdown","missing same-page anchor","markdown/acct-lifecycle-events/account-lifecycle-success-report.md","38","#section_kby_w2y_lfc","markdown/acct-lifecycle-events/account-lifecycle-success-report.md#section_kby_w2y_lfc","markdown-link","Renewal","",""
"markdown","missing same-page anchor","markdown/acct-lifecycle-events/account-lifecycle-use-playbook-initiate.md","51","#section_sm3_qlk_1cc","markdown/acct-lifecycle-events/account-lifecycle-use-playbook-initiate.md#section_sm3_qlk_1cc","markdown-link","Field mapping for account onboarding cases and case tasks","",""
"markdown","missing same-page anchor","markdown/application-portfolio-management/application-portfolio-management-landing-page.md","35","#section_rts_qj4_dwb","markdown/application-portfolio-management/application-portfolio-management-landing-page.md#section_rts_qj4_dwb","markdown-link","Enterprise Modeling and Visualization","",""
"markdown","missing same-page anchor","markdown/application-portfolio-management/application-portfolio-management-landing-page.md","45","#section_vsr_3l4_dwb","markdown/application-portfolio-management/application-portfolio-management-landing-page.md#section_vsr_3l4_dwb","markdown-link","Rationalization of business applications","",""
"markdown","missing same-page anchor","markdown/application-portfolio-management/application-portfolio-management-landing-page.md","55","#section_ckg_4gq_w3c","markdown/application-portfolio-management/application-portfolio-management-landing-page.md#section_ckg_4gq_w3c","markdown-link","Data Certification","",""
"markdown","missing same-page anchor","markdown/better-together/better-tprm-slo.md","180","#get-started-risk-assess","markdown/better-together/better-tprm-slo.md#get-started-risk-assess","markdown-link","Get started with Risk Assessments Integration for Supplier Lifecycle Operations","",""
"markdown","missing same-page anchor","markdown/healthcare-life-sciences/healthcare-and-life-sciences-service-management-core/hcls-policy.md","63","#policy_type","markdown/healthcare-life-sciences/healthcare-and-life-sciences-service-management-core/hcls-policy.md#policy_type","markdown-link","Policy type","",""
